Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Høyeste middelvind (døgn)
Bergen - Florida;SN50540;25.06.2021;16,8;2,9;4,4
Bergen - Florida;SN50540;26.06.2021;15,3;0;5,4
Bergen - Florida;SN50540;27.06.2021;14,9;0;5,2
Bergen - Florida;SN50540;28.06.2021;14;0;5,4
Bergen - Florida;SN50540;29.06.2021;14,9;0;6
Bergen - Florida;SN50540;30.06.2021;19,7;0;4,6
Bergen - Florida;SN50540;01.07.2021;20,3;0;5,4
Bergen - Florida;SN50540;02.07.2021;20,5;0;5,1
Bergen - Florida;SN50540;03.07.2021;16,2;4,5;6,1
Bergen - Florida;SN50540;04.07.2021;18,9;5,2;6,7
Bergen - Florida;SN50540;05.07.2021;20,2;1;6,2
Bergen - Florida;SN50540;06.07.2021;18,2;13,3;6,5
Bergen - Florida;SN50540;07.07.2021;16,8;0,5;8,8
Bergen - Florida;SN50540;08.07.2021;15,6;2,9;6
Bergen - Florida;SN50540;09.07.2021;15,8;22,3;5
Bergen - Florida;SN50540;10.07.2021;15,8;5,7;4,4
Bergen - Florida;SN50540;11.07.2021;16;5,7;5,2
Bergen - Florida;SN50540;12.07.2021;18;0,1;5,1
Bergen - Florida;SN50540;13.07.2021;20,4;0;4,2
Bergen - Florida;SN50540;14.07.2021;18,9;2,8;4,7
Bergen - Florida;SN50540;15.07.2021;16;0,3;6,7
Bergen - Florida;SN50540;16.07.2021;16,3;0,6;5,4
Bergen - Florida;SN50540;17.07.2021;14,7;0,8;6,7
Bergen - Florida;SN50540;18.07.2021;12,8;10,3;6,8
Bergen - Florida;SN50540;19.07.2021;13,6;0,8;5,1
Bergen - Florida;SN50540;20.07.2021;13,5;0,6;5,8
Bergen - Florida;SN50540;21.07.2021;14,9;0,7;6,1
Bergen - Florida;SN50540;22.07.2021;14,8;0;6,5
Bergen - Florida;SN50540;23.07.2021;17,5;0;5,9
Bergen - Florida;SN50540;24.07.2021;16,6;0;4,4
Bergen - Florida;SN50540;25.07.2021;21,5;0;5,3
Bergen - Florida;SN50540;26.07.2021;22,1;0,1;6
Bergen - Florida;SN50540;27.07.2021;19,4;1,7;4,8
Bergen - Florida;SN50540;28.07.2021;18,3;10,7;5,2
Bergen - Florida;SN50540;29.07.2021;17;9,6;5,4
Bergen - Florida;SN50540;30.07.2021;17,8;5,5;5,6
Bergen - Florida;SN50540;31.07.2021;14,8;0;6,5
Bergen - Florida;SN50540;01.08.2021;15,5;0;9,7
Bergen - Florida;SN50540;02.08.2021;13,8;0;7,6
Bergen - Florida;SN50540;03.08.2021;13,2;0;5,4
Bergen - Florida;SN50540;04.08.2021;14,4;0;5,2
Bergen - Florida;SN50540;05.08.2021;16,3;0;6,4
Bergen - Florida;SN50540;06.08.2021;19;0;7,8
Bergen - Florida;SN50540;07.08.2021;19,9;0,5;8,4
Bergen - Florida;SN50540;08.08.2021;18,4;0;5,1
Bergen - Florida;SN50540;09.08.2021;16,6;0,9;5,6
Bergen - Florida;SN50540;10.08.2021;17,4;21,3;5,2
Bergen - Florida;SN50540;11.08.2021;17;0;4,5
Bergen - Florida;SN50540;12.08.2021;16,6;0,1;8,1
Bergen - Florida;SN50540;13.08.2021;14,6;3,4;6,5
Bergen - Florida;SN50540;14.08.2021;14,8;6,6;7,3
Bergen - Florida;SN50540;15.08.2021;12,8;19;5,3
Bergen - Florida;SN50540;16.08.2021;15,7;6;6
Bergen - Florida;SN50540;17.08.2021;15;0,1;5,8
Bergen - Florida;SN50540;18.08.2021;14,1;0,1;8
Bergen - Florida;SN50540;19.08.2021;14,3;1;8,4
Bergen - Florida;SN50540;20.08.2021;13,7;0,2;6
Bergen - Florida;SN50540;21.08.2021;14;0;5,2
Bergen - Florida;SN50540;22.08.2021;14,8;0;4,7
Bergen - Florida;SN50540;23.08.2021;14,7;0,1;4,9
Bergen - Florida;SN50540;24.08.2021;14,6;0;4,5
Bergen - Florida;SN50540;25.08.2021;15,6;7,4;9,4
Bergen - Florida;SN50540;26.08.2021;17;0;9,2
Bergen - Florida;SN50540;27.08.2021;16,3;0;7,2
Bergen - Florida;SN50540;28.08.2021;15,7;0;5,1
Bergen - Florida;SN50540;29.08.2021;15,5;0;5,2
Bergen - Florida;SN50540;30.08.2021;14,2;0;5,8
Bergen - Florida;SN50540;31.08.2021;15,3;0;7,7
Bergen - Florida;SN50540;01.09.2021;15,2;0;7,6
Bergen - Florida;SN50540;02.09.2021;13,4;0;7,1
Bergen - Florida;SN50540;03.09.2021;13,3;1,3;6,8
Bergen - Florida;SN50540;04.09.2021;12,1;0;5,1
Bergen - Florida;SN50540;05.09.2021;14;0;7,1
